# Marker genes for vascular smooth muscle cells
# gene_id: ENSEMBL Gene ID
# gene_name: Common name of the gene
# avg_log2FC: Log2 fold-change of the average expression between the given cell type and the remaining cells (min 0.5)
# FDR: p-value-derived FDR value for gene 
# is_enriched: A binary (0/1) value indicating whether the given gene is enriched for the cell type (FDR < 0.1)
gene_id	gene_name	avg_log2FC	p_val_adj	is_enriched
ENSG00000164128	NPY1R	19.0251020108498	0.0	1.0
ENSG00000150636	CCDC102B	18.972606688356603	0.0	1.0
ENSG00000160801	PTH1R	18.376424857432102	0.0	1.0
ENSG00000122786	CALD1	17.4499880904367	0.0	1.0
ENSG00000134853	PDGFRA	17.3700287070257	0.0	1.0
	CYR61	17.1322253168309	0.0	1.0
ENSG00000235703	LINC00894	17.112304804479802	0.0	1.0
ENSG00000113721	PDGFRB	16.6154582610322	0.0	1.0
	AC093772.1	16.575993630498	0.0	1.0
ENSG00000112214	FHL5	16.5107297538746	0.0	1.0
ENSG00000000971	CFH	16.4907645216405	0.0	1.0
ENSG00000187498	COL4A1	16.4604986441881	0.0	1.0
ENSG00000140092	FBLN5	16.3550091271787	0.0	1.0
ENSG00000170214	ADRA1B	15.9127807888731	0.0	1.0
ENSG00000168542	COL3A1	15.9075744870501	0.0	1.0
ENSG00000116962	NID1	15.8251025669824	0.0	1.0
ENSG00000124496	TRERF1	15.8119787203925	0.0	1.0
ENSG00000213694	S1PR3	15.753672917774502	0.0	1.0
ENSG00000163110	PDLIM5	15.5522053417345	0.0	1.0
ENSG00000259134	LINC00924	15.417130314820199	0.0	1.0
ENSG00000152217	SETBP1	15.3199835194376	0.0	1.0
ENSG00000196616	ADH1B	15.152958942419698	0.0	1.0
ENSG00000162458	FBLIM1	15.008879588590698	0.0	1.0
	AC114967.1	14.632873334434302	0.0	1.0
	AC025280.3	14.6171175119174	0.0	1.0
ENSG00000153246	PLA2R1	14.4863927150396	0.0	1.0
ENSG00000134871	COL4A2	14.4764403475399	0.0	1.0
ENSG00000165895	ARHGAP42	14.474028260742	0.0	1.0
ENSG00000157110	RBPMS	14.3662864419385	0.0	1.0
